be	may
Celsius	Sentigrado
kalye	salitang kalye
shares	katukayo
penis	manoy
school	eskuwela
school	eskuwelahan
belch	dighay
frame	kuwadro
ng	naghahanap ng sakit ng katawan
angered	bugnutin
memorize	isaulo
Mass	misa de aguinaldo
competition	paligsahan
competitor	kakumpetensya
drunk	senglot
coal-fired	kalan de uling
hearing	pagdinig
hearing	pandinig
skilled	sanay
essay	sanaysay
stanza	taludturan
power plant	planta ng kuryente
mining	pagmimina
like	kursonada
sign	senyas
full moon	kabilugan ng buwan
league	legwas
dig	mangamote
electric shock	makuryente
electric chair	silya elektrika
embezzle	kamkam
buy	mamakyaw
doubt	alinlangan
wrinkle	kulubot
coconut	niyugan
darkness	kadiliman
devil	diyablo
popping	lagutok
blame game	sisihan
black sheep	itim na tupa
removed	tanggal
large	garapon
China	Fukien
millionaire	milyonaryo
consecutive	sunod-sunod
next	sunod
cool	swabe
intimidate	sindakin
startled	magugulatin
idler	usyoso
rendezvous	tagpuan
sail	maglayag
tendency	kunsintidora
clear	ligpitin
informant	impormante
circuitous	paligoy-ligoy
common sense	sentido komun
hold	kumapit
sabotage	pananabotahe
infrastructure	imprastruktura
infrastructure	imprastraktura
anger	init ng ulo
scared	matatakutin
act	isnabin
snub	isnabero
snob	isnabera
truancy	bulakbol
walk	lumakad
Masbate City	Masbate
eat	manimot
steamroller	pison
prayer	orasyon
finnicky	pihikan
vanish	maglaho
population	populasyon
pale	maputla
drunkard	lasenggero
maneuver	magmaniobra
low	bakawan
worn out	pudpod
derail	madiskaril
situation	sitwasyon
inspiration	inspirasyon
concentration	konsentrasyon
opposition	oposisyon
pollution	polusyon
modernization	modernisasyon
logical	lohikal
celebration	pagdiriwang
fuel	panggatong
fool	bilugin ang ulo
crazy	masiraan ng ulo
soft-spoken	malamya
inventory	imbentaryo
petition	petisyon
benefit	benepisyo
complicated	masalimuot
worry	agam-agam
target	puntirya
restaurant	restawran
run amok	magdilim ang paningin
commit suicide	magpakamatay
bored	magpatiwakal
approximation	kuwenta
connotation	konotasyon
corner	panulukan
verification	beripikasyon
luxurious	maluho
confirmation	kumpirmasyon
contribution	kontribusyon
agent	ahente
sail	pumalaot
attack	tambangan
slash	maglaslas
suicide	pagpapatiwakal
spouse	kaisang-dibdib
wed	mag-isang-dibdib
taunt	tuyain
elope	magtanan
point of view	punto de bista
dying	naghihingalo
lust	tawag ng laman
carnality	kamunduhan
worldly	makamundo
active	masugid
delicate	maselan
prudishness	delikadesa
disrespectful	pabalang
similar	kamukha
irritate	mang-inis
damage	perwisyo
gamble	magsugal
lie down	humandusay
quarreling	parang aso't pusa
kayod	kayod-kalabaw
work	kumayod
salute	magbigay-pugay
salute	pagpupugay
behead	pugutan
beheaded	pugot
reckless	walang habas
careless	walang pakundangan
merciless	walang awa
vulgar	masagwa
court	manligaw
courtship	panliligaw
obligation	obligasyon
policy	polisiya
stability	katatagan
fuss	kuskos-balungos
railway	daang-bakal
fierceness	bagsik
evil	halang ang bituka
revenge	paghihiganti
retaliate	maghiganti
check	tseke
stroll	maglamyerda
insult	panunuya
loud	bulyaw
punishment	parusa
widespread	laganap
escape	magwala
wink	kindat
dilate	manlisik
groper	manghihipo
masculine	tigasin
ineffective	wa epek
politicize	mamulitika
lying down	higa
champion	kampyon
relocation	relokasyon
specialist	espesyalista
application	aplikasyon
explanation	eksplanasyon
testimony	testimonya
microbe	mikrobyo
co-parent-in-law	balae
explanation	paliwanag
while	miyentras
implication	sangkot
drunk	nakainom
journalist	mamahayag
explosive	pampasabog
businessman	negosyante
negotiator	negosyador
mediator	tagapamagitan
gear stick	kambyo
accelerator	silinyador
cramps	pulikat
unskilled	pahinante
dispatcher	dispatser
civil marriage	kasal sa huwes
arraignment	pagbasa ng sakdal
file	maghabla
sugar	asukarera
snot-nosed	sipunin
common cold	sipon
contagious	nakakahawa
fully	hubo't hubad
familiar	pamilyar
bedbug	surot
insane	sira-ulo
arraign	basahan ng sakdal
confidence	kumpiyansa
self-confidence	kumpiyansa sa sarili
study	magsunog ng kilay
while	samantala
Spanish mackerel	tanigi
red snapper	maya-maya
accusation	paratang
fortune teller	manghuhula
manifestation	sumpong
Pharisee	Pariseo
Magi	Tatlong Hari
devotee	deboto
conceive	maglihi
misunderstanding	di-pagkakaunawaan
procession	prusisyon
activism	aktibismo
cashier	kahera
defecate	dumumi
deliberation	deliberasyon
employee	empleyado
top	ibabaw
shallowness	babaw
dictator	diktador
female	diktadora
dilapidated	kakarag-karag
punishment	kastigo
meticulous	metikuloso
punish	kastiguhin
poison	lasunin
demolition	demolisyon
ransacking	halughog
perceived	malik-mata
meddle	makisawsaw
bankrupt	bangkarote
crutch	saklay
expensive	masakit sa bulsa
crowded	siksik
crowding	siksikan
first love	unang pag-ibig
true love	tunay na pag-ibig
commodity	kalakal
trade	mangalakal
schedule	iskedyul
design	disenyo
have fun	gumimik
constitution	konstitusyon
concubinage	mamangka sa dalawang ilog
favoritism	paboritismo
discrimination	diskriminasyon
favor	pabor
actual	aktuwal
usad	usad-pagong
sudden	bugso
prodigal son	alibughang anak
unfortunately	sa kasamaang palad
fortunately	sa kabutihang palad
view	pananaw
die	sumakabilang-buhay
socialist	sosyalista
mailman	kartero
tremble	nginig
full	kahindik-hindik
inauguration	inagurasyon
ideology	ideolohiya
collateral	kolateral
unsightly	di kaaya-aya
relative	kaanak
effect	epekto
miracle	himala
repair	kumpuni
careless	pabaya
carelessness	kapabayaan
institution	institusyon
witness	saksihan
prawn cracker	kropek
bigamy	bigamya
full	hirit
orchestra	butaka
beneficiary	benepisyaryo
principle	prinsipyo
ratification	ratipikasyon
swindling	dugas
connect	ugnay
connection	kaugnayan
excuse	palusot
journalism	pamamahayag
ally	kakampi
firework	pailaw
dewy	mahamog
smoky	mausok
trickling	lagaslas
duty	katungkulan
out	sabunot
headache	sakit ng ulo
strangled	bigti
commit suicide	magbigti
strangle	bigtiin
same	pareho
implementation	pagpapatupad
trillion	trilyon
qualification	kwalipikasyon
modern	makabago
timing	tiyempo
call of duty	tawag ng tungkulin
hurt	saktan
detail	detalye
billion	bilyon
dance	sayawan
initiation	bunsod
extort	mangikil
chat	tsika
hurry	magmadali
recommendation	rekomendasyon
congregation	kongregasyon
inclined	bangkiling
supported	tuwang
series	serye
rumble	rambol
impose	pataw
opinion	opinyon
war	giyera
campaign	kampanya
mistrust	pangamba
spokesperson	tagapagsalita
watchful	mapagmatyag
discipline	disiplina
marble	marmol
cave	kuweba
tuberose	asusena
stain	mantsa
red junglefowl	labuyo
violent	bayolente
crime	kriminalidad
copy	mangopya
offensive	opensiba
dressing table	tukador
barrel	bariles
children	junakis
fool	ogag
orchid	sanggumay
analogy	analohiya
technology	teknolohiya
encyclopedia	ensiklopedya
vocabulary	bokabularyo
exaggeration	eksaherasyon
member	Huk
constellation	konstelasyon
giant trevally	talakitok
oligarchy	oligarkiya
secularism	sekularismo
rheumatism	rayuma
innocent	walang muwang
bounce	talbog
steal	nakaw
feces	ebak
charity	kawang-gawa
active	aktibo
majority	karamihan
stabbing	saksakan
state	kalagayan
criterion	panuntunan
inhalation	langhap
condemn	kundena
capital	kabisera
livelihood	kabuhayan
bleeding	pagdurugo
empire	imperyo
bone	bulalo
joint	kasu-kasuan
orthography	ortograpiya
phoneme	ponema
drug addict	durugista
rabbitfish	danggit
stupid	gunggong
endearing	taguri
diary	talaarawan
footnote	talababa
form	talabing
slope	talabis
compliance	talima
sound	taltak
hearing	dinig
listen	dinggin
swaying	gibang
emotional	emosyonal
cell	selula
chromatin	kromatina
score	iskor
sack	manloob
keyboard	teklado
biology	aghambuhay
biology	biyolohiya
chlorophyll	kloropila
curiosity	kuryosidad
physics	pisika
vitamin	bitamina
oregano	suganda
higop	igop
lesbian	shiboli
release	bitaw
release	bitiw
approval	aproba
act	beripika
gentle	antig
foul	maantot
repulsive	antot
claim	angkin
peculiar	anggo
smelling	maanggo
laden	ping-il
palate	asngal
gradual	atikha
suburb	kanugnog
forced	bulwang
vegetable	bulanglang
fowl	bulihala
diarrhea	bululos
roll	talabunyian
hilly	maburol
double chin	kabil
your	ninyo
censorious	balabiga
wily	balakyot
insinuation	parinig
rock	rakista
chemistry	kemistri
jeepney	dyip
bite	mangagat
graduate	gradweyt
basil	balanoy
meddle	makialam
Ash Wednesday	Miyerkules ng Abo
rubella	tigdas hangin
tune	saliw
peep	manilip
twist	pilipit
rub	pahid
dragnet	kaladkad
grease payment	padulas
stumble	tisod
contrary	labag
anomaly	anomalya
female	Amerikana
sourness	asim
wave	wasiwas
fallen	bulagta
reclined	tihaya
former	Capiz
aquamarine	agwamarina
disgust	diri
sweets	kakainin
cogon grass	kugon
participant	kalahok
patronize	tangkilik
crumple	lamukos
supply	suplay
wanderer	palaboy
sake	kapakanan
grievance	hinaing
recognition	pagkilala
spectator	manonood
melted	lusaw
chief executive	punong ehekutibo
authorized	awtorisado
authorization	awtorisasyon
suspected	paghinalaan
suspicion	hinala
white	Puti
burden	pabigat
confrontation	komprontasyon
Philippines	Kanluran
Middle East	Gitnang Silangan
Southeast Asia	Timog-Silangang Asya
classroom	silid-aralan
statement	pahayag
mayor	alkalde
coordination	koordinasyon
commentary	komentaryo
basil	albahaka
covering	pandong
sardine	tamban
sea hibiscus	balibago
rehabilitation	rehabilitasyon
Mrs	misis
cashew	kasoy
deny	tanggi
headquarters	punong tanggapan
persevere	pursigi
Judgment Day	Araw ng Paghuhukom
Last Judgment	Huling Paghuhukom
Easter	Pasko ng Pagkabuhay
pronunciation	bigkas
recommend	rekomenda
undergo	sailalim
pigeon pea	kadyos
privilege	pribilehiyo
initiative	inisyatibo
joining	anib
guidance	patnubay
temptation	tukso
Boac	Marinduque
judiciary	hudikatura
shuffle	balasa
discuss	talakay
discussion	talakayan
drown	lunod
convince	kumbinsi
its	nito
nearby	karatig
though	bagamat
overthrow	patalsik
act	dukot
roar	ungol
first of all	una sa lahat
Bicol Peninsula	Sorsogon
consent	kunsinti
gnaw	ngatngat
kill	kumitil ng buhay
attention	asikaso
save	maghigpit ng sinturon
slay	paslang
dip	sawsaw
dip	sawsawan
native	salakot
garrote	Gomburza
slaughterhouse	katayan
piggery	babuyan
researcher	tagapagsaliksik
sugarcane	tubuhan
deceive	linlang
provide	tustos
banging	lagabag
chapter	kabanata
postpone	paliban
management	pamunuan
set aside	santabi
unity	pagkakaisa
market	pamilihan
when	pag-
call of nature	tawag ng kalikasan
subtract	magbawas
lice	suyod
loose change	barya
cheater	manloloko
eleventh	ikalabing-isa
Holy Wednesday	Miyerkules Santo
third	ikatlo
prawn	sugpo
cause	humaling
remedy	remedyo
custom	bulingbuling
whipping	hagupit
Pampanga	San Fernando
scrubbing	hilod
orange jessamine	kamuning
damson plum	kalumpit
achiote	atsuwete
fruit	anonang
person	amugis
first aid	paunang lunas
repack	repake
deadline	palugit
accept	tanggap
pick	sungkit
understand	unawa
hammer	pukpok
pelican	pagala
egret	talabong
hotdog	hatdog
sound	tugtog
temporary	pansamantala
apple juice	katas ng mansanas
grape juice	katas ng ubas
theft	pagnanakaw
bad medicine	masamang gamot
expression	ekspresyon
archbishop	arsobispo
flay	lapnos
scald	banli
scald	banlian
legitimate	lehitimo
memorize	saulo
attempt	subok
implication	dawit
forced	sapilitan
good	maamong tupa
condominium	kondominyum
bulge	umbok
gargle	mumog
glass	bubog
private parts	maselang bahagi
public	piskalya
sneeze	hatsing
superintendent	tagapamahala
small	alamang
ramming	bundol
pick one's nose	mangulangot
bothersome	hasel
muscle	masel
in the act	huli sa akto
taste	panlasa
inappropriate	wala sa lugar
grated	gadgad
washing	hinaw
truth	katotohanan
union	unyon
caulk	masilya
impoverished	kapos-palad
submerge	lublob
use	balsahan
hightail	karipas
attention-seeker	papansin
snippet	retaso
refusing	hugas-kamay
damage	danyos
panlipunan	araling panlipunan
murderer	mamamatay-tao
smuggler	ismagler
rape	panghahalay
ambush	pananambang
bribery	panunuhol
robbery	panloloob
piracy	pamimirata
revving up	harurot
mourning	pagluluksa
agony	paghihingalo
bird	ipot
care	pangangalaga
regret	panghihinayang
trustee	katiwala
hesitate	magdalawang-isip
secondhand	segunda mano
toothbrush	sipilyo
tear	poknat
hesitant	atubili
just kidding	charot
shop window	eskaparate
twin	kakambal
hesitation	pag-aatubili
empty	basyo
street child	batang kalye
sharp-pointed	matilos
principle	simulain
supreme court	mataas na hukuman
General Emilio Aguinaldo	Bailen
look	manalamin
little finger	hinliliit
author	may-akda
public school	pampublikong paaralan
private school	pampribadong paaralan
elementary school	mababang paaralan
at last	sa wakas
Metro Manila	Kalakhang Maynila
battery	baterya
carburetor	karburador
close	masid
God	Bathala
den	kubil
legume	kamatsile
safflower	kasubha
Indigofera hirsuta	tayuman
calabur tree	aratilis
barbershop	pagupitan
sensitive plant	makahiya
bath	paliguan
public holiday	pista opisyal
sole	suwelas
project	proyekto
prevail	mangibabaw
carat	kilates
railway	estasyon
make	dilawan
burned out	pundido
shadow	anino
Cavite	Trece Martires
Cavite	Imus
Cavite	General Trias
refer	sangguni
amateur	bagito
Agusan	Bukidnon
innocent	inosente
messenger	mensahero
rainforest	lawaan
roadside	tabing-kalsada
enclitic	ingklitik
viaticum	biyatiko
prostrate	handusay
outrageous	garapal
steal	malikot ang kamay
frisky	malikot
unlucky	sinamang-palad
Camarines Sur	Del Gallego
Cavite	Ternate
fascism	pasismo
fascist	pasista
act	kutkot
based	batay
elder sister	atsi
wildness	ilap
budget	badyet
gelatin	gulaman
round	batya
soft	lamog
three	kamakatlo
four	kamakapat
five	kamakalima
flesh and blood	dugo't laman
Quezon	Guinayangan
vineyard	ubasan
implication	damay
abuse	pagsamantalahan
go through	dumaan sa butas ng karayom
mouth	tikom ang bibig
shut	tikom
firebrand	dupong
province	Davao
Portunus pelagicus	alimasag
toy	baril-barilan
fiction	kathang-isip
lap	sinapupunan
viviparous	luwal
ankle	bukong-bukong
diminutive	-oy
affordable	magaan sa bulsa
appellation	diko
appellation	sitse
alias	alyas
restlessly	galawgaw
materialism	materyalismo
publish	lathala
scanty	kakarampot
blood, sweat and tears	dugo at pawis
poverty	kahirapan
publisher	tagapaglathala
hegemony	gahum
echo	alingawngaw
hold a grudge	magkimkim ng galit
objecting	tutol
snatching	hablot
sophisticated	sopistikado
chop	sibak
facility	pasilidad
beating	bugbog
support	katigan
length	dipa
hand	dampot
suffix	hulapi
townspeople	taumbayan
clay	palayok
we	kmi
marijuana	tsongki
ductility	kunat
talkativeness	tabil
sulk	mukmok
poke	sundot
illegible	kinahig ng manok
obedient	masunurin
hook	kalawit
abortifacient	pampalaglag
wedding gown	trahe de boda
daily	araw-araw
hurt	pagbuhatan ng kamay
old woman	matandang dalaga
fresh lumpia	lumpiang sariwa
woodland	kahuyan
outer space	kalawakan
root	salitang ugat
Quezon	Tayabas
piercing	matinis
interferes	pakialamero
hungry	tomguts
untidy	gusgusin
sunny	umaraw
create	lumikha
whole	buo
form	bumuo
form	buuin
creative	malikhain
misfortune	lugami
hairy	mabalahibo
sudden	biglaan
friendly	palakaibigan
omission	laktaw
known	kilala
well-hung	dakota
old-time	pangginggi
player	manlalaro
discount	tawad
quack	tawak
Lantana camara	kantutay
pepper	siling labuyo
yardlong bean	sitaw
white popinac	ipil-ipil
carbonate	sagilap
nonsense	sagimuymoy
micrometre	mikrometro
dipterocarp	tangile
cashew	balubad
bilimbi	kamyas
beggarticks	nguad
mallow	lapnis
molave	mulawin
cattleya	katleya
guijo	giho
vermillion	bulaw
handspan	dangkal
silver perch	ayungin
as if there were no tomorrow	parang wala nang bukas
cobra	ulupong
ring	balakat
night mist	masirino
headache	sakit sa ulo
roasting	letson
noodle	pancit
wrestling	buno
support	tukod
rival	karibal
hung	jutay
gardener	hardinero
female	hardinera
garden	hardin
cellophane noodles	sotanghon
typewriter	makinilya
composer	kompositor
handsome	pogi
neglect	pabayaan
run	tumakbo
easily	hingalin
kick	sipain
turn around	umikot
abandon	iwanan
punch	suntukin
obtain	makuha
receive	matanggap
understand	maintindihan
cook	tagaluto
clean	linisan
return	isauli
throw	ihagis
dizzy	mahilo
call	tawagan
punch	magsuntukan
read	basahin
place	kainan
eat	makain
eat	makikain
clean	maglinis
send	ipadala
carried	dala-dala
fucker	kantutero
sexual intercourse	magkantutan
sexual intercourse	makipagkantutan
have	kantutin
engage	makantot
visit	bisitahin
insert	ipasok
palabasin	papasukin
penetrate	mapasok
shit	taihan
defecate	matae
happy	pasayahin
happy	magpasaya
sexual intercourse	pakantutin
arrogant	mapagmalaki
paliitin	palakihin
noisy	umingay
silence	katahimikan
become	tumahimik
shut up	manahimik
reply	sumagot
ask	pasagutan
ask	ipasagot
see	makita
think	isipin
look	tingnan
look for	hanapin
attach	ilagay
remove	alisin
sack	paalisin
erase	burahin
condition	pakiramdam
ask	magtanong
ask	tanungin
show	ipakita
appear	magpakita
start	magsimula
end	matapos
end	tapusin
write	isulat
write	sulatan
future	kinabukasan
dance	sumayaw
sing	kumanta
pay	bayaran
able	mabayaran
hear	marinig
leave	hayaan
dance	magsayaw
dance	sayawin
dancer	mananayaw
sing	kantahan
sing	makipagkantahan
sing	kantahin
sing	magkantahan
listen	makinig
down-to-earth	mapagkumbaba
underestimate	maliitin
lumaki	lumiit
bigger	lumaki
explode	pumutok
eruption	pagputok
explode	putukin
liar	echosera
become	gumuwapo
become	gumanda
gumuwapo	pumangit
disturb	abalahin
go out of one's way	mag-abala
fight	awayin
fight	mag-away
fight	warlahin
agree	sumangayon
start	umpisahan
beginning	umpisa
begin	mag-umpisa
come to an end	magtapos
graduation	pagtatapos
spend	gumastos
save	ipunin
save	mag-ipon
save	isalba
help	tulungan
create	gawin
do	gawan
charity	kawang gawa
unintentionally	maka-
sell	ibenta
goods	paninda
cover	takpan
protect	protektahan
protect	protekta
protected	protektado
protection	proteksyon
sharpen	tasahan
hope	asahan
touch	galawin
make	kapalan
make	pakapalin
become	kumapal
become	numipis
make	panipisin
come off	matanggal
remove	tanggalin
attach	ikabit
hurry	bilisan
slow up	bagalan
speed up	pabilisin
pabilisin	pabagalin
slow down	bumagal
behave	umayos
disorderly	gumulo
scatter	guluhin
give	gamutin
rectum	tumbong
write	magsulat
pen	panulat
beauty	kagandahan
ugliness	kapangitan
best friend	matalik na kaibigan
best friend	beshie
angry	kagalit
make	galitin
angry	magalit
velocity	belosidad
rain	umulan
wet	maulanan
drizzle	umambon
have	bumagyo
hit	bagyuhin
fever	lagnatin
group	samahan
together with	kasama
bring along	isama
research	magsaliksik
realize	mapansin
talk	pansinin
attention	pansin
World War II	Ikalawang Digmaang Pandaigdig
go	magpunta
go	puntahan
break down	masira
destroy	sirain
broken	mabasag
break	basagin
fractured	mabali
be destroyed	mawasak
destroy	wasakin
work	umandar
turn on	paandarin
pun	paandar
pay attention	intindihin
comprehension	pang-intindi
adviser	tagapayo
cleaner	tagalinis
clean	linisin
litter	magkalat
messy	makalat
dirty	madumi
diffuse	ikalat
expenses	bayarin
pay	magbayard
bribe	maglagay
Christianity	Kristiyanismo
put	lagyan
member	kabarkada
peer	katropa
group	dabarkads
peer	tropatuts
peer	tsong
Catholic	Katoliko
negotiation	negosasyon
consumer	konsyumer
adventure	pakikipagsapalaran
admiration	paghanga
fan	tagahanga
genius	henyo
anxiety	pagkabalisa
put on airs	magmaganda
belief	paniniwala
believe	maniwala
trust	tiwala
childhood	pagkabata
communication	komunikasyon
curiosity	kuryusidad
enthusiasm	entusyasmo
failure	pagkabigo
disappointed	bigo
fail	mabigo
let down	biguin
visit	bumisita
rush	pagmamadali
World War I	Unang Digmaang Pandaigdig
reconcile	makipagbati
fornicate	makipagtalik
converse	makipag-usap
talk	kausapin
talk	mag-usap
makipag-	pakikipag-
plead	paki-usapan
request	paki-usap
beg	maki-usap
agreement	usapan
friendship	pagkakaibigan
fight	makipag-away
makipag-away	pakikipag-away
chat	makipagchat
makipagchat	pakikipagchat
chatmate	kachat
engaged	magkaaway
allophony	pa- -in
feed	pakainin
answer	-sagutan
penetrate	pasukin
buy	bilhan
buy	bilhin
state	kapalutan
get sick	magkasakit
manner	pagkaka-
sickly	sakitin
hurt	sumakit
recover	gumaling
cure	pagalingin
return	ibalik
return	pagbabalik
allophony	pa- -an
forty	kuwarenta
eighty	otsenta
revenge	higanti
revenge	paghigantihan
interference	himasok
meddle	manghimasok
meddle	panghimasukan
pick	manguha
get	kumuha
obey	tumalima
massage	magmasahe
roll	gumulong
reject	tumanggi
play	tumugtog
play	tugtugin
understand	ipaintindi
teacher	titser
tattered	basanlot
wear	magbasanlot
opponent	kabasangal
crozier	bakulo
iron fist	kamay na bakal
proud	palalo
pride	kapalaluan
thirteen	trese
fourteen	katorse
tastiness	sarap
large	batingaw
information	kabatiran
stupid	banday
stupidity	kabandayan
use	magbaluti
profound	baliwag
profundity	kabaliwagan
spilling	salawak
seventeen	disisiyete
eighteen	disiotso
nineteen	disinuwebe
jacket	dyaket
brave	suong
insurgency	insurhensiya
harpoon	salapang
superficial	salapaw
harpoon	sumalapang
comparison	hambing
subversive	subersibo
run	takbo
someone	takbuhin
brave	sumuong
logic	lohika
industrialization	industriyalisasyon
competition	kumpetisyon
oppose	manlaban
implicate	isangkot
work	magbukid
publish	maglathala
salivate	maglaway
sit	maglupagi
gargle	magmumog
comb	magsuklay
heroism	kabayanihan
feeling	kaawaan
sourness	kaasiman
member	kaanib
concubine	kaagulo
thug	butangero
coachman	kutsero
create	magpausok
alcoholic	agwardiyente
walking	abrasete
legal	abogasya
homeless	abukanin
masterpiece	akdang-guro
obstruct	humadlang
become	umanta
sign of the cross	antanda
sangkatlo	kalahati
seventy	sitenta
sixty	sisenta
one hundred	sandaan
hundred thousand	siyento mil
hundred thousand	daang libo
Quezon City	Kyusi
ten thousand	sampung libo
hundred thousand	sampung laksa
customer	kustomer
comparative	pahambing
superlative	pasukdol
personal pronoun	panghalip na panao
sociology	sosyolohiya
weave	maghabi
wheeze	umagahas
contribute	mag-abuloy
mistreat	abain
fan	mag-abaniko
kidney bean	abitsuwelas
notify	abisuhan
mechanical	aberya
wait	mag-abang
escort	umabay
twenty-one	beynte uno
twenty-seven	beynte siyete
twenty-two	beynte dos
thirty-one	tatlumpu't isa
thirty-two	tatlumpu't dalawa
thirty-three	tatlumpu't tatlo
sprout	umusbong
prove	magpatunay
activity	aktibidades
insert	isuksok
winter	tag-
batchoy	batsoy
composition	komposisyon
regime	rehimen
collective	kolektibo
ownership	pagmamay-ari
awareness	kamalayan
twenty-three	beynte tres
twenty-four	beynte kuwatro
revise	irebisa
twenty-five	beynte singko
confidential	kumpidensyal
win	pakainin ng alikabok
foul-mouthed	palamura
twenty-six	beynte sais
twenty-eight	beynte otso
Visayas	Kabisayaan
Eve	Eba
Tagalog	Katagalugan
broadcast	brodkast
Metro Manila	Kamaynilaan
twenty-nine	beynte nuwebe
owner	may-ari
official	opisyal
official	opisyales
traveler	biyahero
examiner	eksaminador
logger	magkakahoy
hunter	mangangaso
voluntary	boluntaryo
registration	rehistro
ordeal	kalbaryo
dialect	dayalekto
wander	magliwaliw
disprove	pabulaanan
mystery	misteryo
Vertucio	Virtucio
opium	opyo
amend	amyendahan
amendment	amyenda
treat	balewalain
worthless	balewala
counsel	konseho
councilor	konsehala
forty-five	kwarenta y singko
thirty-eight	treynta y otso
one thousand	sanlibo
simulation	simulasyon
mysterious	misteryoso
quality	kalidad
quality	de-kalidad
script	iskrip
serve	magsilbi
use	silbi
food	tsibog
eat	tsumibog
straw	bansi
provocation	udyok
smoker	naninigarilyo
license	lisensiya
illusion	ilusyon
sign	lagdaan
addict	malulong
vice	lulong
crave	matakam
sign	pirmahan
swindling	panggagantso
downward	pailalim
clothing	pananamit
use	pambahay
handkerchief	panyo
crochet	maggantsilyo
treacherous	pataksil
handkerchief	panwelo
secret	palihim
appreciation	apresasyon
compensation	kumpensasyon
recommend	magrekomenda
review	rebyu
review	rebyuhin
autonomy	awtonomiya
long-term	pangmatagalan
right-hand man	kanang kamay
increase	umento
accumulation	akumulasyon
distribution	distribusyon
foundation	pundasyon
distribution	pamamahagi
deportation	deportasyon
defective	depektibo
complicated	kumplikado
perspective	perspektibo
second	segundahan
look	sipatin
potholed	lubak-lubak
complication	kasalimuutan
classmate	kaklase
schoolgirl	kolehiyala
schoolmate	kaeskuwela
deaf-mute	pipi at bingi
translator	tagapagsalin
does	tagapag-
ika-	pang-
allophony	ka- -an
tension	tensyon
tense	tensyonado
hit	kulatain
get drunk	maglasing
pressure	presyon
rub	kuskos
remove	kuskusin
railing	luhuran
mountain	tagaytay
fruit	bungangkahoy
life story	kuwentong buhay
drinking	paglalasing
bagtikan	malaanonang
stamp	magdabog
foster child	anak-anakan
to each his own	kanya-kanya
cost	kanya-kanyang bayad
his	kaniya
meow	ngiyaw
private	niig
make a scene	gumawa ng eksena
stool	bangkito
small	lamesita
arrangement	areglo
rape	panggagahasa
defamation	paninirang-puri
bitter melon	apalya
in case	baka sakali
take a chance	magbakasakali
alley	kalyehon
identity	pagkakakilanlan
beg	manlimos
begging	panlilimos
agent	simuno
initiator	pasimuno
dairy farm	pagatasan
take advantage	manamantala
manamantala	pananamantala
zarzuela	sarswela
vaudeville	bodabil
importance	kahalagahan
dog	tsotso
slight	bahagya
Song of Solomon	Awit ni Solomon
phlegm	pagdahak
1	1 Mga Hari
2	2 Mga Hari
lesbian	lesbyana
young	baklita
verdict	hatol
periodical	peryodikal
Irish	Irlandes
nutrient	sustansya
eradicate	sawatain
confiscate	samsamin
of course	siyempre
nutritious	masustansya
sure	sigurado
leery	sigurista
deluge	dilubyo
fond	magakgak
chilblain	sabanyon
pneumonia	pulmonya
held	kimkim
show	magpakumbaba
honeybee	pukyutan
swoop	dumagit
smaller	ligwan
bee	lukutan
soften	lamasin
extended family	kamag-anakan
keep	magkumot
keep	kumutan
bless	basbasan
carabao	damulag
huge	dambuhala
stay	magpuyat
raise	magbusisi
Kaffir lime	kabuyaw
shiver	mangaligkig
limitation	limitasyon
liturgy	liturhiya
lithography	litograpiya
naughty	haligutgot
mussel	halaan
original sin	salang orihinal
holy water	agwa bendita
foster mother	nanay-nanayan
foster father	tatay-tatayan
spinning top	turumpo
Messiah	Tagapagligtas
gentleman	ginoo
safe	ligtas
subprovince	Apayao
subprovince	Benguet
large	asarol
dramatic	pandula
fright	dulit
end	duluhan
help	saklolo
trade	komersyo
coworker	katrabaho
announce	mag-anunsyo
hurry	mag-apura
rent	mag-arkila
threaten	magbanta
apology	paumanhin
apologize	humingi ng paumanhin
odd number	gansal
lone	gangsal
drain	bambang
chicken	batulang
seraph	serapin
female	palisan
grin	ngumisi
relinquish	magpaubaya
thud	lagabog
dive	sumisid
diving	sisid
convinced	kumbinsido
patient	pasensyoso
very	masyado
complete	naganap
progressive aspect	nagaganap
contemplative	magaganap
Gloria	Papuri sa Diyos
crown of thorns	koronang tinik
sadness	kalungkutan
cheating	dagdag-bawas
addictive	nakakaadik
alcoholic	nakalalasing
preposition	pang-ukol
according to	ayon sa
according to	ayon kay
about	tungkol sa
calculate	magkuwenta
rent	magrenta
space	espasyo
many	sangkaterba
vowel	patinig
because of	dahil sa
except for	maliban sa
against	laban sa
punch	jumbag
revenge	resbak
pay back	rumesbak
many	sangkatutak
more	higit
implement	magpatupad
main	pangunahin
promise	mangako
start	mag-aklas
exact	sakto
broadcaster	brodkaster
visit	dumalaw
get	maghagilap
opponent	katunggali
tight	kubakob
sound	hagibis
cry	humagulhol
successor	kahalili
brook	saluysoy
overflow	lumigwak
speak	umimik
knowledge	muwang
commander	patnugot
release	alingasaw
anyone	alinman
fair	karampatan
guest	panauhin
benefit	pakinabang
kiss	hagkan
innocent	walang sala
foreword	paunang salita
summer	tag-araw
accustomed	mamihasa
drunken	masugapa
wounded	masuwag
separate	tumiwalag
drunken	sugapa
