dictionary	woordenboek
soon	binnenkort
for example	bijvoorbeeld
always	altijd
alone	alleen
active	actief
last	afgelopen
general	algemeen
please	alsjeblieft
andre	ander
hunt	jagen
height	hoogte
half	helft
protect	beschermen
above	boven
almost	bijna
unity	eenheid
behaviour	gedrag
loved one	geliefde
shoulder	schouder
pig	varken
future	toekomst
tooth	tand
bedroom	slaapkamer
silence	stilte
soup	soep
velocity	snelheid
collection	verzameling
freedom	vrijheid
pepper	peper
postage stamp	postzegel
needle	naald
separate	scheiden
fight	vechten
speak	spreken
write	schrijven
shoot	schieten
try	proberen
obey	gehoorzamen
knowledge	kennis
remove	verwijderen
unite	verenigen
change	veranderen
collect	verzamelen
want	willen
freeze	vriezen
earn	verdienen
compare	vergelijken
escape	ontsnappen
call	noemen
make	maken
lie	liegen
turn	draaien
grow	groeien
cook	koken
cost	kosten
outside	buiten
inside	binnen
better	beter
thread	draad
both	beide
bit	beetje
map	plattegrond
problem	probleem
ceiling	plafond
police	politie
position	positie
person	persoon
pencil	potlood
period	periode
know	kennen
princess	prinses
province	provincie
pistol	pistool
picture	plaatje
pond	vijver
meat	vlees
flag	vlag
enemy	vijand
third	derde
double	dubbel
this	deze
neither	noch
one	één
first	eerste
enthusiastic	enthousiast
few	enkele
extreme	extreem
empty	leeg
narrow	smal
simple	simpel
south	zuiden
swimming pool	zwembad
soul	ziel
thing	zaak
continent	werelddeel
forest	woud
unhappiness	ongeluk
subject	onderwerp
east	oosten
morning	ochtend
ocean	oceaan
private	privé
popular	populair
beautiful	schoon
broken	kapot
cannabis	dagga
high	hoog
yellow	geel
new	nieuw
hard	moeilijk
orange	oranje
pink	roze
enough	genoeg
mean	gemeen
yesterday	gisteren
dangerous	gevaarlijk
funny	grappig
grey	grijs
tense	gespannen
adequate	geschikt
hundred	honderd
north	noorden
woolen	wollen
invite	uitnodigen
invent	uitvinden
pick out	uitzoeken
without	zonder
time	tijd
birthdate	verjaardag
change	verandering
lose	verliezen
destroy	vernietigen
conquer	veroveren
depart	vertrekken
tell	vertellen
expect	verwachten
take	nemen
be	mogen
read	lezen
touch	raken
find	vinden
television	televisie
jumper	trui
return	terugkomst
sum	totaal
title	titel
pie	taart
male	vriend
stranger	vreemde
order	volgorde
foot	voet
vorkje	vork
weak	zwak
careful	voorzichtig
safe	veilig
dirty	vies
slow	langzaam
rent	huren
keep	houden
fetch	halen
pick up	opnemen
rather	tamelijk
naturally	natuurlijk
when	wanneer
probably	waarschijnlijk
at home	thuis
born	geboren
practice	oefening
suddenly	opeens
certain	zeker
same	zelfde
like	zoals
nothing	niets
old	oud
smell	ruiken
sometime	ooit
convenience	gemak
consequence	gevolg
ground	grond
cock	haan
cupboard	kast
school class	klas
social class	klasse
sad	verdrietig
soundless	stom
nature	natuur
peace	vrede
lead	lood
sir	meneer
smile	lach
pit	kuil
basket	mand
step	stap
nice	fijn
signal	signaal
cut	snijden
repair	repareren
send	versturen
spread	verspreiden
necessary	moeten
lie	liggen
welcome	welkom
why	waarom
usual	gebruikelijk
remind	herinneren
clear	helder
regular	gewoon
rough	grof
easy	gemakkelijk
comparable	vergelijkbaar
fake	vals
odd	oneven
though	hoewel
how much	hoeveel
siharet	sigaret
hand	aangeven
reason	verstand
mistake	vergissen
crane	kraan
fill	vullen
past	vroeger
gone by	verleden
square	vierkant
success	succes
street	straat
flour	meel
deceased	overleden
special	speciaal
comparison	vergelijking
wrong	verkeerd
ready	klaar
tonight	vannacht
this morning	vanmorgen
strange	vreemd
provide	voorzien
feed	voeden
awful	verschrikkelijk
increase	verhoging
further	verder
holiday	vakantie
compartment	vak
goodbye	vaarwel
draw	naken
Leptailurus serval	serval
John	Johannes
present	cadeau
introduction	exordium
chili pepper	sambal
Meuse	Maas
whiter	witter
eyrie	horst
Coronaviridae	coronavirus
shower	douchen
nominate	nomineren
levee	dijk
clog	klomp
pub	kroeg
breakfast	ontbijten
decline	afslaan
op	op handen zijn
delicacies	delicatessen
platinum	platina
Dutch	toko
Scotland	Schotland
Norway	Noorwegen
Latvia	Letland
Russische	Russische Federatie
Lithuania	Litouwen
loop	lus
Greenland	Groenland
Denmark	Denemarken
van	Verenigde Staten van Amerika
Dominicaanse	Dominicaanse Republiek
van	Golf van Mexico
South Africa	Zuid-Afrika
Prussia	Pruisen
Persian Gulf	Perzische Golf
Arabisch	Arabisch Schiereiland
Arabic	Arabisch
Italy	Italië
Macedonia	Macedonië
Bosnia	Bosnië
has	heeft
North America	Noord-Amerika
South America	Zuid-Amerika
Antarctic	antarctisch
Antarctic Ocean	Antarctische Oceaan
Southern Ocean	Zuidelijke IJszee
Arctic Ocean	Noordelijke IJszee
sea	ijszee
northern	noordelijk
Arctic Ocean	Arctische Oceaan
southern	zuidelijk
Arctic	arctisch
South Pole	Zuidpool
North Pole	Noordpool
Amerikaans	Amerikaans Samoa
American	Amerikaans
other	overkant
gras	het gras is altijd groener aan de overkant
always	steeds
opposite	overzijde
barge	tjalk
faint	flauwvallen
discuss	bespreken
latest	laatst
mixture	mengsel
bell	avondklok
steamboat	stoomboot
typo	tikfout
Tulipa	tulp
clove	kruidnagel
interior	binnenkant
donation	donatie
typo	typfout
light	aansteker
strawberry	aardbei
apricot	abrikoos
battery	accu
surname	achternaam
vein	ader
ashtray	asbak
doctor	dokter
black	banaan
spread	boter
glasses	bril
godfather	peetoom
come	thuiskomen
virtue	deugd
look	bekijken
install	installeren
dress	jurk
mouse	muis
beard	baard
salmon	zalm
offer	aanbieden
heart attack	hartaanval
attacker	aanvaller
romantic	afspraakje
agree	afspreken
guilty	schuldig
onskuldig	onschuldig
uncertain	onzeker
damned	verdomd
disappointing	teleurstellend
independent	onafhankelijk
illegal	illegaal
legal	legaal
unbelievable	ongelooflijk
inconsolable	ontroostbaar
daily	dagelijks
slice	boterham
mark	markeren
murder	moorden
meet	ontmoeten
develop	ontwikkelen
agree	overeenkomen
raid	overvallen
pass	passeren
present	presenteren
reach	reiken
rise	rijzen
shine	schijnen
shake	schudden
close	sluiten
forbid	verbieden
stand	staan
salt	zouten
bake	bakken
freeze	invriezen
stand up	opstaan
climb	stijgen
ascend	opstijgen
roast	braden
hang	hangen
progress	verlopen
come up	opkomen
prescribe	voorschrijven
send	uitzenden
figure out	uitkomen
cross	oversteken
turn	omslaan
burn	aanbakken
light	aansteken
kinship	totem
familiar	gemeenzaam
informal	informeel
document	brevet
carriage house	remise
repeat	reprise
breastplate	plastron
muskrat	muskusrat
metaphysics	metafysica
mould	matrijs
baseball	honkbal
mathematics	wiskunde
courier	koerier
cucumber	komkommer
barrier	barrière
I	ikke
epoch	epoche
Khoekhoe	Hottentot
pub	salon
pole vault	polsstokspringen
orgasm	orgasme
domain	-dom
energy	energie
chintz	sits
boob	tet
Latinized	Jacobus
stage-coach	diligence
yet	doch
etching	ets
Portuguese	Portugese
persoonlijk	persoonlijk voornaamwoord
annoying	irritant
resulting	consequent
bastard	mamzer
appreciation	chapeau
plutocrat	oligarch
over	over mijn lijk
spot	stek
abscess	abces
flute	cannelure
August	augustus
prelate	prelaat
pope	kerkvorst
whip	sjambok
blunt	stomp
Limburg	Hasselt
blockade	blokkade
insect screen	hor
chocolate	choco
joke	zwanzer
bean	boon
home	honk
exodus	uittocht
Exodus	Uittocht
sociology	sociologie
funny	lollig
little	weinig
wake	wekken
separable	scheidbaar
esteem	achten
accomplice	handlanger
Mongolia	Mongolië
wrestler	worstelaar
slave	slaaf
cigar	sigaar
campsite	camping
vallen	vallen op
incinerate	verassen
internal	intern
lijken	lijken op
lawyer	jurist
wring	wringen
speculator	florist
drum kit	drummer
sympathy	sympathie
sign	ondertekenen
under	onder
take care of	zorgen voor
suck	zuigen
mouth	waffel
firearm	vuurwapen
Renata	Renate
Joegoslavische	Voormalige Joegoslavische Republiek Macedonië
high priest	hogepriester
puller	trekker
plural	meervoud
annelid	ringworm
ice	ijs
pigeon	duif
political	affaire
blatant	flagrant
pomelo	pomelo
wave	onde
plant	rooibos
treasurer	quaestor
drink	drinker
zijn	z'n
independent	zelfstandig
silvern	zilveren
zelfstandig	zelfstandig naamwoord
noun	naamwoord
bijvoeglijk	bijvoeglijk naamwoord
Latin	Latijns
fantasy	fantasie
godfather	peetvader
abbey	abdij
attachment	aanhangsel
picture	afbeelding
precious stone	edelgesteente
manager	beheerder
somewhat	enigszins
inconsistent	draaikont
loan	bastaardwoord
cloth	doek
establishment	coffeeshop
atomiser	flitspuit
trivial	feitenkennis
greybeard	grijsaard
easterly	oosters
gamecock	vechthaan
chirping	gesjirp
bearable	dragelijk
ruff	kemphaan
rumor	gerucht
length	lengte
box	pyxis
ire	toorn
stage	decor
prosperity	heil
Internet	provider
pious	vroom
commander	commandant
master	maître
frieze	fries
snipe	snip
seriousness	ernst
aquatic	epifauna
Islam	moslim
Alexander the Great	Alexander de Grote
Georgia	Georgië
Bosnië	Bosnië en Herzegovina
Cambodia	Cambodja
Jordan	Jordanië
New Zealand	Nieuw-Zeeland
Cameroon	Kameroen
Central African Republic	Centraal-Afrikaanse Republiek
Moldova	Moldavië
Malaysia	Maleisië
European Union	Europese Unie
Indonesia	Indonesië
Indies	Indië
Israel	Israël
Kuwait	Koeweit
Kazakhstan	Kazachstan
Kyrgyzstan	Kirgizië
Namibia	Namibië
Netherlands Antilles	Nederlandse Antillen
North Korea	Noord-Korea
Slovakia	Slowakije
Servië	Servië en Montenegro
Saudi Arabia	Saoedi-Arabië
South Korea	Zuid-Korea
Sudan	Soedan
Syria	Syrië
Trinidad	Trinidad en Tobago
Uganda	Oeganda
United Arab Emirates	Verenigde Arabische Emiraten
Uzbekistan	Oezbekistan
Sahara	Westelijke Sahara
Guinea	Equatoriaal-Guinea
New Caledonia	Nieuw-Caledonië
East Flanders	Oost-Vlaanderen
Flanders	Vlaanderen
West Flanders	West-Vlaanderen
parallel	evenwijdig
eyebrow	wenkbrauw
eyelash	wimper
excellent	topper
meh	mwah
acorn	eikel
Nelumbo	lotus
crematory	crematorium
column	columnist
elsewhere	elders
tissue	cel
Japanese	natto
musician	bassist
plaster cast	gips
African birdseye	piri-piri
agent noun	-ator
symbiote	symbiont
waiter	garçon
himself	zich
bartender	barman
you	jullie
your	Uw
you	gij
I	'k
I	mij
you	jou
case	telkens
telkens	telkens als
telkens	telkens wanneer
through and through	door en door
van	van top tot teen
defeat	overwinnen
arrange	inrichten
pay attention	letten
charm	bekoring
comfort	troosten
beg	smeken
hasten	haasten
background	achtergrond
background	achtergrondkleur
een	een belletje doen rinkelen
fifth	vijfde
sixth	zesde
seventh	zevende
eighth	achtste
ninth	negende
tenth	tiende
eleventh	elfde
twelfth	twaalfde
thirteenth	dertiende
fourteenth	veertiende
fifteenth	vijftiende
sixteenth	zestiende
seventeenth	zeventiende
eighteenth	achttiende
nineteenth	negentiende
twentieth	twintigste
twenty-one	eenentwintig
twenty-first	eenentwintigste
twenty-two	tweeëntwintig
twenty-three	drieëntwintig
twenty-four	vierentwintig
twenty-five	vijfentwintig
twenty-six	zesentwintig
twenty-seven	zevenentwintig
twenty-eight	achtentwintig
twenty-nine	negenentwintig
thirty	dertig
thirty-one	eenendertig
thirty-two	tweeëndertig
thirty-three	drieëndertig
thirty-four	vierendertig
thirty-five	vijfendertig
thirty-six	zesendertig
thirty-seven	zevenendertig
thirty-eight	achtendertig
thirty-nine	negenendertig
forty-one	eenenveertig
forty-two	tweeënveertig
forty-three	drieënveertig
forty-four	vierenveertig
forty-six	zesenveertig
forty-five	vijfenveertig
forty-seven	zevenenveertig
forty-eight	achtenveertig
forty-nine	negenenveertig
fifty-one	eenenvijftig
fifty-two	tweeënvijftig
fifty-four	vierenvijftig
fifty-three	drieënvijftig
fifty-six	zesenvijftig
fifty-five	vijfenvijftig
fifty-eight	achtenvijftig
fifty-nine	negenenvijftig
fifty-seven	zevenenvijftig
sixty-one	eenenzestig
sixty-two	tweeënzestig
sixty-three	drieënzestig
sixty-four	vierenzestig
sixty-five	vijfenzestig
sixty-six	zesenzestig
sixty-seven	zevenenzestig
sixty-eight	achtenzestig
sixty-nine	negenenzestig
seventy-three	drieënzeventig
seventy-one	eenenzeventig
seventy-two	tweeënzeventig
seventy-four	vierenzeventig
seventy-five	vijfenzeventig
lame	mank
myriametre	myriameter
participant	rei
current	courant
hitchhiker	lifter
rake	harken
beetle	kever
all	allen
trawl	kor
barrier	kering
rag	vod
diary	dagboek
cramp	kram
greenhouse	kas
bricklayer	metselaar
maar ja	maja
alala	lel
stop	stopper
between	tussen
slim	tenger
kettledrum	pauk
Willem	Wilhelmina
disgust	brr
ensemble	koor
fog	nevel
court jester	nar
acre	gemet
capsize	kapseizen
godparent	peet
shell	casco
people	volk
butt	kont
slate	katten
bridle	toom
dwarf	dwerg
tile	tegel
duke	hertog
pistil	stamper
diligence	vlijt
pour	gieten
dish	schotel
grasp	vatten
heat	hitte
bad	wan-
integration	integratie
satay	saté
pyjamas	pyjama
glass	amaretto
stiver	stuiver
coin	dubbeltje
cent	kwartje
Dutch	rijksdaalder
coin	vijfje
guilder	tientje
guilder	geeltje
sunflower	zonnebloem
guilder	honderdje
lighthouse	vuurtoren
guilder	duizendje
golden	gulden
teacher	onderwijzer
testicle	hode
shit	schijten
help	helpen
open	openen
throw	werpen
melt	smelten
tear	slijten
flow	vlieten
drip	druipen
thaw	dooien
wheat	weit
fracture	breuk
procure	schaffen
bride	bruid
ready	gereed
mushroom	paddenstoel
landlord	hospes
silent	zwijgen
widow	weduwe
rod	roede
rite	ritus
kidney	nier
yoke	juk
down	neder
nettle	netel
twilight	schemer
govern	regering
whet	wetten
phosphorus	fosfor
wager	wedden
overconfident	overmoedig
postal code	postcode
midday	middag
May	mei
tired	vermoeid
waterway	tocht
narrow	nauw
veel	veel beterschap
chamois	gems
post scriptum	postscriptum
sail	wiek
throw	sollen
take	aannemen
earthquake	aardbeving
absorb	absorberen
lace	veter
problems	kommer
sick	krank
big	dikkop
close	dichtdoen
niemands	niemand
drawl	temen
conductor	conducteur
thank	danken
tolerate	dulden
opinion	gedacht
Indonesian	nasi
pavement	stoep
whim	nuk
stocking	kous
leader	leider
yup	jep
room	krap
crazy	zot
fun	pret
Taurus	Stier
renting	huur
Cossack	kozak
interested	geïnteresseerde
interested	geïnteresseerd
happy	gelukkig
sauce	saus
hospitality	gastvrijheid
witch	heks
slayer	slager
butcher	beenhouwer
mayor	burgemeester
threaten	bedreigen
period	poos
industrious	noest
witch	heksenketel
branch	filiaal
half-apron	eva
spray can	spuitbus
industry	werklust
agent noun	-eur
flesh	kokos
homosexuals	holebi
goods	dumping
direct object	lijdend voorwerp
cf.	vgl.
coastal	cabotage
Heleen	Helena
brooch	broche
skill	kunde
breed	leghorn
pipette	pipet
refereeing	arbitrage
No.	nr.
No.	nr
wish	puf
waarvoor	waarvoor
calculate	rekenen
cover	stolp
cobble	kei
comma	komma
falsehood	drog
kettle	ketel
occupation	besogne
flax	vlas
lump hammer	moker
brine	pekel
butterfly	pepel
factor	constante
stain	smet
poor	kaalgat
cramp	kramp
trick	truc
crash	smak
dinner	souper
microprocessor	processor
Ahab	Achab
Esau	Edom
order	bevel
nickel	nikkel
combination	combi
hours	uren
place	oord
coin	penning
steam	stoom
silent	stille
pity	sund
lizard	leguaan
silicon	silicium
sports	equipe
hocus-pocus	hocus pocus
size	duodecimo
astringent	wrang
belladonna	belladonna
planet	planeet
race	racer
mood	humeur
oyster	oester
press	dringen
back	retour
button mushroom	champignon
yo	ewa
cask	fust
Falconidae	valk
window	venster
gherkin	augurk
noble	edel
cod	kabeljauw
Carina	Kiel
acknowledge	erkennen
cork	kurk
harquebus	haakbus
Brussels	Laken
colonial	gouvernement
sailor	matroos
waiter	ober
stoke	stoker
quacksalver	kwakzalver
give	schenken
bar	sperren
draw	stiften
straw	stro
Maria	Mieke
heron	reiger
cotton wool	watten
waffle	wafel
grail	graal
anomaly	anomalie
interviewer	interviewer
make love	vrijen
bovine	rund
deceive	verneuken
descendant	nakomeling
hint	hinten
cash	innen
spit	spuwen
Papaver	papaver
plea	bede
coercion	dwang
-archy	-archie
thin	julienne
daydreamer	dagdromer
necessity	noodzaak
intruder	indringer
term	termijn
task	opgave
immunity	immuniteit
duality	dualiteit
decency	fatsoen
competence	bekwaamheid
solicitude	bekommernis
goldsmith	goudsmid
silversmith	zilversmid
magnanimity	edelmoedigheid
sacrilege	heiligschennis
power	kracht
bait	lokaas
engineer	ingenieur
initial	initiaal
legibility	leesbaarheid
rashness	onbezonnenheid
immovability	onbeweeglijkheid
speleologist	speleoloog
immigration	immigratie
grape juice	druivensap
grape	druif
fig	vijg
cauliflower	bloemkool
blossom	bloesem
plum	pruim
tracker	bloedhond
anthology	bloemlezing
owl	uil
eagle	arend
blackbird	merel
tit	mees
master	meester
Ciconiidae	ooievaar
Hymenoptera	wesp
truck	vrachtwagen
credibility	geloofwaardigheid
equality	gelijkwaardigheid
equanimity	gelijkmoedigheid
evenness	gelijkmatigheid
defectiveness	gebrekkigheid
drought	droogte
stubbornness	weerbarstigheid
rebirth	wedergeboorte
race	wedstrijd
truth	waarheid
dignity	waardigheid
linguistics	taalkunde
corporality	lichamelijkheid
temple	kapel
church	kerk
cathedral	kathedraal
cloister	klooster
drip	druiper
cardinal	kardinaal
pope	paus
fortune	kapitaal
speaker	luidspreker
slander	lasterpraat
pomelo	pompelmoes
landowner	landeigenaar
lane	laan
infinity	oneindigheid
eternity	eeuwigheid
vermin	ongedierte
substitution	vervanging
sunshine	zonneschijn
meltwater	smeltwater
no man's land	niemandsland
community	gemeenschap
side effect	neveneffect
kid	ket
wander	dolen
digger	graver
tomb	tombe
tub	aad
little	gering
limp	hinken
overeat	overeten
bump	nak
ridge	nok
signal	seinen
immense	immens
unbridgable	onoverbrugbaar
against	tegen
axe	aks
during	tijdens
since	sinds
because of	wegens
along	langs
thanks to	dankzij
opposite	tegenover
according to	volgens
Sarah	Sara
breakwater	golfbreker
wet	kletsnat
password	wachtwoord
metastasis	uitzaaiing
armchair	fauteuil
ground floor	parterre
rosary	paternoster
Dutch	NHG
Provençal	ratatouille
report	melden
milk	melken
hundredth	kati
elm	olm
meteoric	krater
container	jerrycan
strain	spannen
stink	stinken
home-can	wecken
straight	rechtdoor
neatly	netjes
stamp	stempel
necessary	nodig
something	iets
order	orde
likable	leuk
study	studie
backwards	terug
education	opleiding
someone	iemand
each	ieder
everyone	iedereen
madam	mevrouw
clothes	kleren
smile	glimlachen
mourning	rouw
Norovirus	norovirus
down	neer
sometimes	soms
sort	soort
makeup	maquillage
translate	vertalen
acidosis	acidose
current	hedendaags
Judaea	Judea
Crimea	Krim
quay	kade
asthma	astma
hole	wak
crew	equipage
paint thinner	thinner
objector	remonstrant
drum	trom
source	bron
distance	verte
excursion	excursie
apartment	appartement
zijn	zijnen
tower	toren
Walloon Brabant	Waterloo
tension	spanning
robber	rover
baptiser	doper
Elizabeth	Elisabeth
breakdown	panne
cousin	neef
brother-in-law	zwager
brother-in-law	schoonbroer
never	nooit
dusty	stoffig
fart	ruft
lorry	camion
silver	snaphaan
eel	paling
longline	beuger
disclose	veropenbaren
suddenly	plots
series	reeks
paper clip	paperclip
paunch	pens
perfume	parfum
bun	pistolet
guinea pig	cavia
smooth	kaal
mosque	moskee
candy floss	suikerspin
peppermint	pepermunt
pine nut	pijnboompit
fraud	fraude
Dutch	Aad
Aaron	Aäron
Adriaan	Aat
deism	deïsme
pandeism	pandeïsme
pantheism	pantheïsme
vegan	veganist
pet name	Aart
